#   zbin_a      Bbin_a
#
0.000000 0.000000
0.100000 -0.002783
0.200000 0.001676
0.300000 0.000000
0.400000 -0.002209
0.500000 0.000669
0.600000 0.001280
0.700000 -0.000590
0.800000 -0.002778
0.900000 -0.001107
1.000000 -0.000501
1.100000 -0.002925
1.200000 -0.001365
1.300000 0.001785
1.400000 -0.005537
1.500000 -0.008656
1.600000 0.004324
1.700000 0.000000
1.800000 -0.001792
1.900000 -0.000707
2.000000 0.000341
2.100000 0.000000
2.200000 0.000628
2.300000 0.002175
2.400000 0.002376
2.500000 -0.001453
2.600000 -0.001976
2.700000 0.001389
2.800000 0.002663
2.900000 0.001316
3.000000 0.000767
3.100000 -0.003892
3.200000 -0.008333
3.300000 -0.005896
3.400000 -0.009101
3.500000 -0.023506
3.600000 -0.041282
3.700000 -0.003219
3.800000 -0.001050
3.900000 -0.021826
4.000000 -0.005854
