#   zbin_a    RMSbin_a
#
0.000000 0.000000
0.100000 0.004868
0.200000 0.005258
0.300000 0.005931
0.400000 0.008639
0.500000 0.010856
0.600000 0.006580
0.700000 0.005882
0.800000 0.005940
0.900000 0.008302
1.000000 0.005654
1.100000 0.006227
1.200000 0.009982
1.300000 0.006267
1.400000 0.005728
1.500000 0.016678
1.600000 0.013029
1.700000 0.009369
1.800000 0.013407
1.900000 0.015245
2.000000 0.015219
2.100000 0.014980
2.200000 0.014839
2.300000 0.015742
2.400000 0.011705
2.500000 0.011100
2.600000 0.013660
2.700000 0.012990
2.800000 0.011482
2.900000 0.015375
3.000000 0.019520
3.100000 0.022625
3.200000 0.021509
3.300000 0.021580
3.400000 0.022451
3.500000 0.043199
3.600000 0.048714
3.700000 0.053257
3.800000 0.029998
3.900000 0.020105
4.000000 0.042579
