#z       bias(z)
0.000000 0.000000
0.100000 -0.002836
0.200000 -0.004202
0.300000 -0.003906
0.400000 0.001457
0.500000 -0.002742
0.600000 0.001997
0.700000 -0.000615
0.800000 -0.001126
0.900000 -0.001089
1.000000 -0.001033
1.100000 -0.002925
1.200000 -0.002802
1.300000 0.000000
1.400000 0.002110
1.500000 -0.001225
1.600000 -0.006322
1.700000 0.002291
1.800000 0.001082
1.900000 0.003841
2.000000 0.004777
2.100000 0.005596
2.200000 0.005684
2.300000 0.005218
2.400000 0.012944
2.500000 0.013081
2.600000 0.001126
2.700000 0.011221
2.800000 0.011129
2.900000 0.016836
3.000000 0.025340
3.100000 0.011446
3.200000 0.013285
3.300000 0.005210
3.400000 0.005322
3.500000 -0.000450
3.600000 -0.002181
3.700000 0.004934
3.800000 0.014846
3.900000 0.005418
4.000000 0.006881
