#z  sigma_z
0.000000 0.000000
0.100000 0.012125
0.200000 0.022044
0.300000 0.017920
0.400000 0.020485
0.500000 0.017052
0.600000 0.017993
0.700000 0.018198
0.800000 0.019520
0.900000 0.020138
1.000000 0.017746
1.100000 0.020437
1.200000 0.019552
1.300000 0.018513
1.400000 0.018761
1.500000 0.015167
1.600000 0.027950
1.700000 0.020855
1.800000 0.018262
1.900000 0.024161
2.000000 0.026922
2.100000 0.020602
2.200000 0.022812
2.300000 0.025920
2.400000 0.031696
2.500000 0.022827
2.600000 0.025854
2.700000 0.026486
2.800000 0.038443
2.900000 0.070232
3.000000 0.103808
3.100000 0.036936
3.200000 0.027193
3.300000 0.021172
3.400000 0.016559
3.500000 0.019783
3.600000 0.019468
3.700000 0.026148
3.800000 0.023753
3.900000 0.020196
4.000000 0.024497
